,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
1986451,1986451,,12000,Bay,El Cajon California 92019,4.794520547945205,92019,14.3 hh,4,False,False,False,,,True,"['Dressage (Started)', 'Western Dressage (In Training/Has Training)']"
2017325,2017325,,5500,Chestnut,Austin Arkansas 72007,16.887671232876713,72007,16.0 hh,2,False,True,False,,,True,"['Beginner-Safe Horse', 'Dressage', 'Jumping', 'Kid-Friendly Family Horse', 'Lesson Horse']"
2013786,2013786,,12500,Buckskin,Castle Rock Washington 98611,1.7917808219178082,98611,0 Inches,3,False,False,False,,,True,"['All Around (Prospect)', 'Baroque Horse (Prospect)', 'Dressage (Prospect)', 'Sporthorse (Prospect)', 'Western Dressage (Prospect)']"
2018166,2018166,,6000,Chestnut,Rockton Illinois 61072,7.958904109589041,61072,16.3 hh,7,False,False,False,,,False,"['Advanced Rider Recommended', 'Dressage', 'Hunter', 'Jumping']"
2018163,2018163,,4500,Bay,Cornville Maine 04976,13.046575342465754,4976,14.2 hh,5,False,False,False,,,False,"['Dressage', 'Eventing', 'Jumping', 'Pony Club']"
2018271,2018271,,3000,Black,Wagener South Carolina 29164,4.712328767123288,29164,16.2 hh,3,False,False,False,,,True,"['Dressage (Prospect)', 'Eventing (Prospect)', 'Foxhunter (Prospect)', 'Hunter (Prospect)', 'Jumping (Prospect)']"
2018277,2018277,,4500,Bay,Batavia Illinois 60510,3.791780821917808,60510,16.2 hh,5,False,True,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
2013396,2013396,,26000,Grey,monument Colorado 80132,8.043835616438356,80132,16.2 hh,3,False,True,,,,True,"['Dressage', 'Eventing', 'Foxhunter', 'Hunter', 'Jumping']"
2008066,2008066,,16000,Bay,Springfield Oregon 97477,10.63013698630137,97477,14.2 hh,3,False,False,False,,,True,"['Dressage (Shown/Competed/Performed)', 'Hunter (Shown/Competed/Performed)', 'Jumping (Shown/Competed/Performed)', 'Working Equitation (In Training/Has Training)']"
2018247,2018247,,26500,Black,Chesterfield Missouri 63005,5.375342465753425,63005,15.1 hh,3,False,False,False,,,True,['Dressage']
