,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
1989672,1989672,,24000,Bay,Durango Colorado 81301,1.6246575342465754,81301,15.0 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Foxhunter', 'Hunter', 'Jumping']"
1991460,1991460,,6800,Chestnut,Mooresville North Carolina 27013,11.043835616438356,27013,17.1 hh,2,False,True,,,,False,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
1991329,1991329,,5000,Palomino,West Des Moines Iowa 50265,8.043835616438356,50265,15.0 hh,3,False,False,False,,,False,"['Cutting', 'Dressage', 'Hunter', 'Jumping']"
1991320,1991320,,5500,Bay,Alton New Hampshire 03809,9.043835616438356,3809,16.0 hh,11,False,False,False,,,False,"['All Around', 'Dressage', 'Eventing', 'Foxhunter', 'Hunt Seat Equitation']"
1991435,1991435,,1500,Dun,Millington Maryland 21651,10.715068493150685,21651,15.2 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Intermediate Rider Recommended', 'Jumping']"
1991334,1991334,,12000,Bay,Tomball Texas 77375,6.712328767123288,77375,16.0 hh,8,False,False,False,,,True,"['Dressage', 'Hunter', 'Jumping', 'Ridden English', 'Started Under Saddle']"
1991017,,,,,,,,,,,,,,,,
1977758,1977758,,7500,Grey,montville Maine 04941,2.2904109589041095,4941,15.0 hh,5,False,False,False,,,True,"['Agility', 'Baroque Horse', 'Dressage', 'Stallion, Breeding', 'Yearling']"
1983561,,,,,,,,,,,,,,,,
1990828,1990828,,4000,Bay,Emmett Idaho 83617,7.041095890410959,83617,14.2 hh,3,False,True,False,,,True,"['Dressage', 'Driving', 'Halter']"
1991099,1991099,,18000,Chestnut,ocala Florida 34476,14.046575342465754,34476,15.2 hh,4,False,False,False,,,True,"['Dressage', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
1986910,1986910,,5000,Bay,boerne Texas 78015,9.043835616438356,78015,16.0 hh,5,False,True,False,,,False,"['Dressage', 'Eventing', 'Jumping']"
1991090,1991090,,6200,Black,Yucaipa California 92399,1.7917808219178082,92399,15.3 hh,4,False,False,False,,,True,"['Baroque Horse (Finished/Proficient)', 'Bridle Horse (Prospect)', 'Champion Pedigree (Finished/Proficient)', 'Dressage (Prospect)', 'Jumping (Prospect)']"
1968323,1968323,,22500,Bay,Saline Michigan 48176,7.712328767123288,48176,16.0 hh,4,False,False,False,,,True,['Dressage']
