,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2012869,2012869,,2500,Grey,pinellas park Florida 33781,11.043835616438356,33781,14.2 hh,5,False,False,False,,,False,"['Dressage', 'Endurance Riding', 'English Pleasure', 'Eventing']"
2012794,2012794,,0,Chestnut,Langley Washington 98260,21.052054794520547,98260,16.2 hh,4,False,False,False,,,False,"['Dressage', 'Trail Riding, Recreational']"
2012729,2012729,,5000,Grey,Canton Michigan 48187,4.794520547945205,48187,14.2 hh,4,False,False,False,,,True,"['Dressage', 'Halter', 'Hunter Under Saddle', 'Saddle Seat', 'Western Pleasure']"
2012700,,,,,,,,,,,,,,,,
2012648,2012648,,2000,Black,Avonmore Pennsylvania 15618,1.4575342465753425,15618,14.0 hh,11,False,False,False,,,False,['Dressage']
2012646,2012646,,0,Bay,Spring City Pennsylvania 19475,5.794520547945205,19475,15.0 hh,4,False,False,False,,,False,"['Dressage', 'Endurance Riding', 'English Pleasure', 'Eventing']"
2012619,2012619,,5000,Chestnut,Houston Texas 77095,6.794520547945205,77095,16.2 hh,5,False,True,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Pony Club']"
2012564,2012564,,15000,Chestnut,Bow New Hampshire 03304,19.802739726027397,3304,16.2 hh,2,False,False,False,,,True,"['Dressage', 'Eventing', 'Foxhunter', 'Hunter', 'Jumping']"
2012548,2012548,,15000,Grey,east Chatham New York 12060,14.046575342465754,12060,13.2 hh,2,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunt Seat Equitation', 'Hunter Under Saddle', 'Jumping']"
2012529,2012529,,10000,Bay,Roy Washington 98580,13.046575342465754,98580,0 Inches,2,False,False,False,,,False,"['Beginner-Safe Horse', 'Dressage', 'Eventing', 'Hunter Under Saddle', 'Jumping']"
2012520,2012520,,10000,Bay,Gaston Oregon 97119,0.6246575342465753,97119,17.0 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Sporthorse']"
2012507,2012507,,0,Bay Roan,Great Falls Virginia 22042,10.882191780821918,22042,16.0 hh,4,False,False,False,,,True,"['Dressage', 'Halter', 'Hunter', 'Hunter Under Saddle', 'Intermediate Rider Recommended']"
2012503,2012503,,13500,Palomino,Petaluma California 94952,8.043835616438356,94952,16.0 hh,2,False,False,False,,,True,"['Dressage', 'English Pleasure', 'Hunter Under Saddle', 'Trail Riding, Recreational', 'Western Dressage']"
2012495,2012495,,25000,Bay,Willis Texas 77018,5.794520547945205,77018,15.1 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Rider Level: Amateur']"
2012479,2012479,,0,Bay,Frederick Maryland 21704,10.043835616438356,21704,16.1 hh,4,False,False,False,,,True,"['Dressage', 'English Pleasure', 'Eventing', 'Hunt Seat Equitation', 'Hunter Under Saddle']"
2012467,,,,,,,,,,,,,,,,
2012463,2012463,,15000,Black Bay,Burtonsville Maryland 20866,15.046575342465754,20866,14.2 hh,1,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Show Winner']"
1998084,1998084,,8500,Bay,Newville Pennsylvania 17241,4.375342465753425,17241,15.3 hh,5,False,False,False,,,True,"['Broodmare', 'Dressage', 'Eventing', 'Hunter', 'Jumping']"
2012427,,,,,,,,,,,,,,,,
2012426,,,,,,,,,,,,,,,,
2012399,2012399,,8500,Black,Greenfield twp Pennsylvania 18407,6.712328767123288,18407,17.1 hh,2,False,False,False,,,True,"['Dressage', 'Foxhunter', 'Husband-Safe Horse']"
2012394,2012394,,8500,Bay,Fayetteville Georgia 30215,10.043835616438356,30215,14.1 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
2012382,2012382,,1200,Bay,Pittsgrove New Jersey 08318,17.720547945205478,8318,15.2 hh,5,False,False,False,,,False,"['Champion', 'Dressage', 'English Pleasure', 'Hunt Seat Equitation']"
2012379,,,,,,,,,,,,,,,,
2012376,2012376,,6000,Chestnut,Montville Ohio 44064,5.041095890410959,44064,15.3 hh,5,False,False,False,,,False,"['Dressage', 'Hunter', 'Hunter Under Saddle', 'Kid-Friendly Family Horse', 'Lesson Horse']"
2012349,2012349,,2500,Bay,Union Bridge Maryland 21791,3.0383561643835617,21791,14.1 hh,4,False,False,False,,,True,"['All Around', 'Dressage', 'English Pleasure', 'Eventing']"
2012332,2012332,,10000,Bay,Pennington New Jersey 08534,8.043835616438356,8534,17.1 hh,1,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (Started)', 'Jumping (Started)']"
2012330,2012330,,20000,Chestnut,Poolesville Maryland 20837,6.879452054794521,20837,16.2 hh,3,False,False,False,,,False,"['Dressage (Awards Earned)', 'Eventing (Awards Earned)', 'Jumping (Awards Earned)']"
2012290,2012290,,0,Chestnut,Landrum South Carolina 29356,8.797260273972602,29356,15.0 hh,5,False,False,False,,,True,[]
