,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2009016,2009016,,5000,Chestnut,Hudson Wisconsin 54016,10.63013698630137,54016,15.0 hh,5,False,True,False,,,True,"['Broodmare', 'Champion Pedigree', 'Dressage', 'Endurance Riding', 'Hunter']"
2009012,2009012,,5000,Black,York Pennsylvania 17402,15.046575342465754,17402,15.1 hh,11,False,False,False,,,True,"['Dressage (Awards Earned)', 'Hunter Under Saddle (Awards Earned)', 'Sporthorse (Awards Earned)', 'Western Pleasure (Started)']"
2009103,2009103,,6500,Chestnut,Winston Salem North Carolina 27107,13.046575342465754,27107,16.3 hh,7,False,True,,,,False,"['Dressage', 'Hunter', 'Jumping']"
2009104,2009104,,30000,Bay,Thurmont Maryland 21788,13.632876712328768,21788,16.2 hh,5,False,False,False,,,True,['Dressage']
2009086,2009086,,39500,Chestnut,Fallbrook California 92028,9.63013698630137,92028,17.0 hh,3,False,True,False,,,True,"['Dressage', 'Hunt Seat Equitation', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
2009068,2009068,,3000,Bay,Suffolk Virginia 23434,14.961643835616439,23434,15.3 hh,11,False,False,False,,,True,"['Dressage', 'English Pleasure', 'Eventing', 'Hunter', 'Jumping']"
2009076,2009076,,15000,Grey,Lebanon Illinois 62254,11.797260273972602,62254,16.2 hh,3,False,True,,,,True,"['Dressage (Awards Earned)', 'Sporthorse (Awards Earned)']"
2008923,2008923,,6000,Grey,Redmond Washington 98053,10.043835616438356,98053,15.0 hh,3,False,False,False,,,False,"['All Around', 'Beginner-Safe Horse', 'Dressage', 'Eventing']"
2008905,2008905,,10000,Bay,Woodinville Washington 98072,13.8,98072,16.3 hh,5,False,True,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Pony Club']"
1903183,1903183,,7000,White,Cheney Washington 99004,12.717808219178082,99004,15.0 hh,6,False,False,False,,,True,['Dressage (In Training/Has Training)']
2008903,2008903,,6000,Black,Jasper Alabama 35504,17.964383561643835,35504,16.1 hh,2,False,False,False,,,True,"['Baroque Horse', 'Beginner-Safe Horse', 'Champion', 'Draft', 'Dressage']"
