,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2006895,2006895,,35000,Chestnut,Fallbrook California 92028,6.627397260273972,92028,17.1 hh,3,False,True,False,,,True,['Dressage']
2006897,2006897,,28000,Grey,Fallbrook California 92028,4.712328767123288,92028,16.3 hh,3,False,True,False,,,True,['Dressage']
1985242,1985242,,1000,Bay,Fairfax Station Virginia 22039,16.04931506849315,22039,15.2 hh,4,False,True,,,,True,"['All Around', 'Dressage', 'English Pleasure', 'Eventing', 'Jumping']"
2006894,,,,,,,,,,,,,,,,
2006885,2006885,,1000,Bay,Dickerson Maryland 20842,20.052054794520547,20842,15.2 hh,4,False,False,False,,,False,"['Dressage', 'English Pleasure', 'Ridden English', 'Schoolmaster', 'Trail Riding, Recreational']"
2006870,2006870,,3000,Bay,Wellington Ohio 44090,5.712328767123288,44090,16.2 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Intermediate Rider Recommended', 'Jumping']"
2006855,2006855,,5000,Grey,Hinesville Georgia 31313,4.879452054794521,31313,16.2 hh,7,False,True,,,,True,"['Dressage (In Training/Has Training)', 'Eventing (Prospect)', 'Hunter Under Saddle (Prospect)', 'Jumping (Prospect)', 'Ridden English (In Training/Has Training)']"
2004012,2004012,,3500,Black,New Providence Pennsylvania 17560,2.2904109589041095,17560,15.0 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Foxhunter', 'Hunter', 'Hunter Under Saddle']"
2004654,2004654,,3500,Bay,Jay New York 12941,0.7095890410958904,12941,14.2 hh,3,False,False,False,,,True,"['Dressage (Prospect)', 'Eventing (Prospect)', 'Team Penning (Prospect)', 'Trail Riding, Competitive (Prospect)', 'Trail Riding, Recreational (Prospect)']"
1972519,1972519,,7500,Grey,Barrington Illinois 60010,2.8767123287671232,60010,15.2 hh,11,False,False,False,,,False,"['Dressage', 'Eventing', 'Foxhunter']"
2006779,2006779,,4500,Black,Oro Valley Arizona 85704,12.213698630136987,85704,12.3 hh,3,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Driving (Awards Earned)', 'Jumping (Shown/Competed/Performed)', 'Trail Riding, Recreational (Finished/Proficient)', 'Western Pleasure (Awards Earned)']"
1993421,1993421,,20000,Black,Felton California 95018,2.8767123287671232,95018,15.1 hh,5,False,False,False,,,True,"['Baroque Horse', 'Broodmare', 'Dressage']"
2006683,2006683,,1200,Black,Colton Washington 99163,4.375342465753425,99163,15.2 hh,9,False,True,False,,,False,"['Advanced Rider Recommended', 'Cowhorse', 'Dressage', 'Endurance Riding', 'Eventing']"
2006691,2006691,,2000,Chestnut,Hendersonville North Carolina 28791,15.884931506849314,28791,14.3 hh,3,False,False,False,,,True,"['All Around', 'Dressage', 'Lesson Horse', 'Ridden English', 'Ridden Western']"
2006673,2006673,,10000,Grey,McConnellsburg Pennsylvania 17233,5.627397260273972,17233,15.3 hh,5,False,False,False,,,True,"['Baroque Horse (Started)', 'Dressage (Shown/Competed/Performed)', 'Show Winner (World/National Competitor)', 'Started Under Saddle (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)']"
1991255,1991255,,15000,Grey,Felton California 95018,4.879452054794521,95018,15.3 hh,3,False,True,,,,True,"['Baroque Horse', 'Broodmare', 'Dressage', 'English Pleasure', 'Trail Riding, Recreational']"
2006668,2006668,,18000,Brown,Jerome Idaho 83338,12.046575342465754,83338,16.3 hh,5,False,False,False,,,True,"['Dressage', 'Western Dressage', 'Working Equitation']"
2006648,2006648,,17000,Grey,Oxford Michigan 48370,11.882191780821918,48370,16.1 hh,3,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Foxhunter (Prospect)', 'Hunt Seat Equitation (Prospect)', 'Jumping (In Training/Has Training)']"
2006634,2006634,,18000,Bay,Centreville Maryland 21617,6.041095890410959,21617,16.0 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping', 'Show Experience']"
2006625,2006625,,5500,Bay,Woodbury Connecticut 06798,10.043835616438356,6798,16.2 hh,3,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (In Training/Has Training)']"
2006776,2006776,,12000,Black,Ephraim Utah 84627,4.041095890410959,84627,17.2 hh,2,False,False,False,,,False,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Driving (Finished/Proficient)', 'Eventing (Prospect)', 'Western Dressage (Prospect)']"
2006774,2006774,,65000,Black,Martinez California 94553,7.041095890410959,94553,16.1 hh,5,False,False,False,,,False,['Dressage (Shown/Competed/Performed)']
1996888,1996888,,0,Grey,Ridgefield Washington 98642,12.961643835616439,98642,15.1 hh,5,False,True,,,,False,"['Dressage (Prospect)', 'Endurance Riding (Prospect)', 'Intermediate Rider Recommended', 'Natural Horsemanship Training (In Training/Has Training)', 'No Vices']"
2006742,2006742,,9500,Black,Midway Kentucky 40347,7.712328767123288,40347,16.1 hh,11,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Pony Club']"
2006743,2006743,,4000,Chestnut,Madera Pennsylvania 16661,13.046575342465754,16661,16.3 hh,4,False,False,False,,,False,"['Dressage', 'Hunter Under Saddle', 'Show Experience']"
2006728,2006728,,0,Bay,Louisville Colorado 80027,14.046575342465754,80027,15.0 hh,3,False,False,False,,,False,"['Dressage (Finished/Proficient)', 'Eventing (In Training/Has Training)', 'Trail Riding, Recreational (Finished/Proficient)']"
2006726,2006726,,7500,Bay,Austin Texas 78759,3.791780821917808,78759,16.0 hh,5,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Sporthorse']"
2006720,2006720,,7500,Grey,Fort Ann New York 12827,4.041095890410959,12827,15.2 hh,5,False,False,False,,,True,"['Double Registered', 'Dressage', 'English Pleasure', 'Eventing', 'Hunter']"
2005865,,,,,,,,,,,,,,,,
2005877,2005877,,60000,Liver Chestnut,Sherwood Oregon 97140,14.046575342465754,97140,17.1 hh,3,False,False,False,,,True,"['Dressage (Shown/Competed/Performed)', 'Jumping (Shown/Competed/Performed)']"
2006400,2006400,,14000,Black,Merlin Oregon 97532,9.043835616438356,97532,16.2 hh,5,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Vaulting']"
2006397,2006397,,2500,Sorrel,Enumclaw Washington 98022,12.717808219178082,98022,16.0 hh,5,False,False,False,,,True,"['Dressage', 'Pack Horse', 'Saddle Seat', 'Trail Riding, Recreational']"
2006403,2006403,,48000,Bay,Merlin Oregon 97532,9.043835616438356,97532,16.2 hh,5,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunt Seat Equitation', 'Hunter', 'Jumping']"
1985268,1985268,,4000,Bay,athens Ohio 45701,13.717808219178082,45701,15.2 hh,4,False,False,False,,,True,"['All Around (Finished/Proficient)', 'Dressage (Shown/Competed/Performed)', 'Eventing (Shown/Competed/Performed)', 'Foxhunter (Prospect)', 'Jumping (Shown/Competed/Performed)']"
2006383,2006383,,4500,Black Bay,Lincoln Nebraska 68516,5.794520547945205,68516,15.3 hh,6,False,True,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Pony Club']"
2006381,2006381,,1500,Black Bay,Carnation Washington 98014,22.052054794520547,98014,16.2 hh,2,False,False,False,,,False,"['Dressage', 'English Pleasure', 'Ridden Western', 'School', 'Trail Riding, Recreational']"
2006369,,,,,,,,,,,,,,,,
2006445,2006445,,32000,Bay,Wentzville Missouri 63385,12.046575342465754,63385,17.1 hh,5,False,False,False,,,True,['Dressage']
