,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
1996967,1996967,,500,Bay,Lebanon Tennessee 37087,13.046575342465754,37087,16.2 hh,7,False,False,False,,,False,"['Dressage', 'Intermediate Rider Recommended', 'Jumping', 'Lesson Horse', 'Racing, Retired Racehorse']"
2014055,2014055,,3500,Black,Chico California 95973,1.7095890410958905,95973,13.0 hh,3,False,False,False,,,True,"['Dressage', 'Hunter', 'Hunter Under Saddle', 'Pony Club', 'Sporthorse']"
2019708,2019708,,8000,Bay,Garrison New York 10524,7.041095890410959,10524,16.1 hh,3,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
2019791,2019791,,10000,Grey,Corvallis Oregon 97333,7.794520547945205,97333,15.3 hh,6,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Intermediate Rider Recommended', 'Ridden Western (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)', 'Working Equitation (In Training/Has Training)']"
2020000,2020000,,15000,Grey,livermore California 94551,2.5424657534246577,94551,16.2 hh,5,False,False,False,,,False,"['Dressage', 'Hunter', 'Jumping']"
2019888,2019888,,20000,Bay,Longmont Colorado 80504,5.794520547945205,80504,16.1 hh,5,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (In Training/Has Training)', 'Jumping (In Training/Has Training)']"
2019998,2019998,,25000,Grey,Moorpark California 93021,7.879452054794521,93021,16.2 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping']"
2019948,2019948,,5000,Black,Cave Junction Oregon 97523,6.712328767123288,97523,14.3 hh,5,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Trail Riding, Competitive (In Training/Has Training)', 'Western Dressage (In Training/Has Training)']"
2019987,2019987,,7000,Bay,Salem Oregon 97317,5.712328767123288,97317,15.2 hh,4,False,False,False,,,True,"['All Around', 'Dressage', 'Jumping', 'Sporthorse', 'Western Dressage']"
2019343,2019343,,2500,Bay,Dillsburg Pennsylvania 17019,8.043835616438356,17019,16.0 hh,2,False,False,False,,,True,"['Dressage (Started)', 'Eventing (Prospect)', 'Foxhunter (Prospect)', 'Hunter (Prospect)', 'Husband-Safe Horse (Prospect)']"
2019976,2019976,,28000,Black Bay,Oregon City Oregon 97045,7.712328767123288,97045,16.1 hh,5,False,False,False,,,True,"['Broodmare (Prospect)', 'Dressage (In Training/Has Training)']"
2019965,2019965,,12000,Black Bay,Canton Georgia 30115,12.884931506849314,30115,16.2 hh,4,False,False,False,,,True,"['Broodmare', 'Dressage', 'Eventing', 'Jumping', 'No Vices']"
1894032,1894032,,12500,Grey,Kearneysville West Virginia 25430,5.627397260273972,25430,14.2 hh,3,False,False,False,,,True,"['Baroque Horse', 'Dressage (Prospect)', 'Pleasure Driving (Prospect)', 'Sporthorse (Prospect)', 'Stallion, Breeding (Prospect)']"
