,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
1903744,1903744,,0,Bay,Cape Coral Florida 33990,8.043835616438356,33990,16.1 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
1888672,1888672,,0,Bay,Cape Coral Florida 33990,7.041095890410959,33990,16.3 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
1889122,1889122,,0,Bay,Cape Coral Florida 33990,7.041095890410959,33990,16.2 hh,5,False,False,False,,,True,"['Dressage', 'Hunter', 'Jumping']"
1843850,1843850,,0,Bay,Roy Washington 98580,8.043835616438356,98580,16.2 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
1870230,,,,,,,,,,,,,,,,
1863891,1863891,,0,Bay,Cape Coral Florida 33990,7.958904109589041,33990,16.1 hh,5,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (Prospect)', 'Hunter (Prospect)', 'Jumping (Prospect)']"
1846953,1846953,,0,Bay,Cape Coral Florida 33990,7.041095890410959,33990,16.1 hh,5,False,False,False,,,True,"['Dressage', 'Hunter', 'Jumping']"
1822439,1822439,,0,Bay,Cape Coral Florida 33990,7.041095890410959,33990,16.0 hh,11,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
1799411,1799411,,0,Chestnut,Cape Coral Florida 33990,9.043835616438356,33990,16.3 hh,5,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Hunter (Prospect)', 'Jumping (Prospect)']"
1789764,1789764,,0,Bay,Roy Washington 98580,9.043835616438356,98580,16.2 hh,11,False,False,False,,,True,"['Dressage (Finished/Proficient)', 'Eventing (Prospect)', 'Hunter (Prospect)', 'Jumping (Prospect)']"
1076452,1076452,,3500,Bay,Clinton Kentucky 42031,13.046575342465754,42031,14.3 hh,3,False,False,False,,,True,"['All Around (Prospect)', 'Dressage (Prospect)', 'Halter (Prospect)', 'Western Pleasure (Prospect)']"
936691,936691,,5000,Black,Hudson Iowa 50643,12.717808219178082,50643,16.1 hh,2,False,True,,,,True,"['Broodmare', 'Champion', 'Country English Pleasure', 'Double Registered', 'Dressage']"
938538,938538,,4000,Bay,Kennet Square Pennsylvania 19348,14.961643835616439,19348,16.2 hh,5,False,False,False,,,True,"['Dressage (Prospect)', 'Eventing', 'Hunter', 'Jumping', 'Lesson Horse (Prospect)']"
936940,936940,,2500,Grey,Rowley Massachusetts 01969,22.805479452054794,1969,16.1 hh,2,False,True,,,,False,"['All Around', 'Dressage', 'Hunter Under Saddle', 'Jumping']"
537544,537544,,19500,Bay,Hadley Massachusetts 06897,17.553424657534247,6897,18.0 hh,11,False,True,,,,False,"['Dressage (Prospect)', 'Eventing', 'Foxhunter', 'Hunter', 'Jumping']"
2021208,2021208,,10000,Bay,Granite Bay California 95630,14.046575342465754,95630,16.2 hh,6,False,False,False,,,False,"['Dressage', 'Jumping']"
2021203,2021203,,8000,Chestnut,cement Oklahoma 73017,11.715068493150685,73017,16.2 hh,3,False,False,False,,,False,"['Beginner-Safe Horse', 'Dressage', 'English Pleasure', 'Hunter', 'Jumping']"
2021195,2021195,,25000,Black,danville Vermont 05828,3.7095890410958905,5828,16.1 hh,2,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Driving (Finished/Proficient)', 'Eventing (In Training/Has Training)', 'Trail Riding, Recreational (Finished/Proficient)']"
2021192,2021192,,17500,Bay,Paw Paw Michigan 49079,10.715068493150685,49079,16.2 hh,3,False,False,False,,,True,"['Champion', 'Dressage (In Training/Has Training)', 'Jumping (In Training/Has Training)', 'Kid-Friendly Family Horse', 'Lesson Horse']"
2021185,,,,,,,,,,,,,,,,
2021175,2021175,,0,Chestnut,Fall City Washington 98024,14.046575342465754,98024,14.2 hh,5,False,False,False,,,False,"['Dressage (Shown/Competed/Performed)', 'Endurance Riding (World/National Competitor)', 'Jumping (Shown/Competed/Performed)', 'Pony Club (Shown/Competed/Performed)', 'Western Riding (Prospect)']"
2021170,2021170,,3750,Liver Chestnut,Cosby Missouri 64436,7.879452054794521,64436,16.0 hh,2,False,False,False,,,False,"['All Around', 'Barrel Racing', 'Beginner-Safe Horse', 'Dressage']"
2021166,2021166,,0,Sorrel,PRESCOTT Arizona 86304,18.04931506849315,86304,16.0 hh,4,False,False,False,,,False,"['Dressage', 'Dressage', 'Hunt Seat Equitation', 'Hunt Seat Equitation', 'Jumping', 'Western Pleasure', 'Western Pleasure']"
2021163,2021163,,2000,Grey,Freeville New York 13068,18.04931506849315,13068,16.2 hh,4,False,False,False,,,False,"['4H (Prospect)', 'Broodmare', 'Dressage (Finished/Proficient)', 'Hunter Under Saddle (Shown/Competed/Performed)', 'Show Winner (Shown/Competed/Performed)']"
2021138,2021138,,2700,Chestnut,Monroe Washington 98034,13.046575342465754,98034,15.1 hh,5,False,False,False,,,False,"['All Around', 'Dressage', 'Mounted Games', 'Pony Club']"
2021135,2021135,,15000,Chestnut,Kent Washington 98042,7.46027397260274,98042,16.1 hh,5,False,False,False,,,False,"['Dressage', 'Hunt Seat Equitation', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
2021126,2021126,,2000,Bay,Davidson North Carolina 28036,10.715068493150685,28036,16.3 hh,6,False,False,False,,,True,"['All Around', 'Dressage', 'Endurance Riding', 'Eventing', 'Field Trials']"
2021110,2021110,,45000,Bay,wellington Florida 33414,8.043835616438356,33414,15.1 hh,1,False,False,False,,,True,"['Dressage', 'Hunter', 'Jumping', 'Lesson Horse']"
