,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
1978803,1978803,,2500,Grey,Aberdeen North Carolina 28315,12.717808219178082,28315,15.3 hh,5,False,True,False,,,True,"['All Around', 'Broodmare', 'Dressage', 'English Pleasure', 'No Vices']"
1993660,1993660,,0,Black,Lebanon Oregon 97355,7.041095890410959,97355,13.3 hh,8,False,True,,,,True,"['Advanced Rider Recommended (Started)', 'Broodmare (Finished/Proficient)', 'Dressage (Started)', 'Started Under Saddle (In Training/Has Training)']"
1993603,,,,,,,,,,,,,,,,
1903886,1903886,,12500,Palomino,Brookline New Hampshire 03033,8.043835616438356,3033,14.1 hh,3,False,False,False,,,True,"['Dressage (Prospect)', 'Hunt Seat Equitation (Prospect)', 'Hunter Under Saddle (Prospect)', 'Ridden English (Started)', 'Sporthorse (In Training/Has Training)']"
1993590,1993590,,12000,Liver Chestnut,Social Circle Georgia 30025,1.7917808219178082,30025,15.1 hh,5,False,False,False,,,True,"['Dressage (Prospect)', 'Hunter (Prospect)']"
1993600,1993600,,5500,Bay,Beaver Pennsylvania 15009,14.884931506849314,15009,15.0 hh,5,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
1993586,1993586,,450,Bay,Rehoboth Massachusetts 02769,15.884931506849314,2769,15.2 hh,2,False,False,False,,,True,['Dressage']
1992969,1992969,,45000,Grey,Camarillo California 93012,8.043835616438356,93012,16.1 hh,11,False,False,False,,,False,"['Dressage', 'Eventing', 'Jumping']"
1993743,1993743,,15000,Bay,Readington New Jersey 08889,15.046575342465754,8889,16.3 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping', 'Pony Club']"
1993750,1993750,,6800,Chestnut,Waxahachie Texas 75167,14.8,75167,15.3 hh,3,False,False,False,,,True,"['All Around (Finished/Proficient)', 'Beginner-Safe Horse (Finished/Proficient)', 'Dressage (Shown/Competed/Performed)', 'Hunter (Shown/Competed/Performed)', 'Western Pleasure (Shown/Competed/Performed)']"
1993708,1993708,,15000,Bay,San Antonio Texas 78015,15.717808219178082,78015,16.3 hh,5,False,False,False,,,True,"['Dressage', 'Hunter']"
1993720,1993720,,1500,Grey,everson Washington 98247,2.6246575342465754,98247,13.2 hh,3,False,False,False,,,False,['Dressage']
1961140,1961140,,3000,Chestnut,Freeburg Illinois 62243,16.04931506849315,62243,14.2 hh,3,False,False,False,,,True,"['Dressage', 'Hunter', 'Hunter Under Saddle', 'Trail Riding, Recreational']"
1993903,1993903,,3500,Bay,olympia Washington 98513,13.717808219178082,98513,16.3 hh,6,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Jumping (Started)']"
1993849,1993849,,0,Brown,Owenton Kentucky 40359,11.715068493150685,40359,14.3 hh,3,False,True,,,,True,"['Broodmare', 'Dressage', 'Endurance Riding', 'Foundation Bred', 'Sporthorse']"
1993838,1993838,,5000,Black,Montevallo Alabama 35115,6.041095890410959,35115,16.0 hh,6,False,True,,,,False,['Dressage']
1993808,1993808,,4500,Bay,scappoose Oregon 97056,14.046575342465754,97056,16.3 hh,11,False,True,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Jumping (In Training/Has Training)', 'Lesson Horse (Finished/Proficient)', 'Pony Club (Started)']"
1993789,1993789,,2500,Chestnut,Atkins Virginia 24311,18.04931506849315,24311,17.2 hh,4,False,False,False,,,False,['Dressage']
1993777,1993777,,6000,Chestnut,PITTSBURGH Pennsylvania 15219,6.879452054794521,15219,16.3 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunt Seat Equitation', 'Hunter', 'Jumping']"
1993543,1993543,,20000,Black,McMurray Pennsylvania 15317,13.046575342465754,15317,16.0 hh,6,False,False,False,,,True,"['All Around (Awards Earned)', 'Dressage (In Training/Has Training)', 'English Pleasure (Awards Earned)', 'Show Winner (Awards Earned)', 'Sporthorse (Shown/Competed/Performed)']"
