,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2007885,,,,,,,,,,,,,,,,
2007879,2007879,,10000,Bay,Barrington Hills Illinois 60010,6.879452054794521,60010,16.2 hh,2,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (In Training/Has Training)', 'Jumping (In Training/Has Training)', 'Trail Riding, Recreational (Finished/Proficient)']"
2007906,2007906,,30000,Black,Somerset Wisconsin 54025,11.797260273972602,54025,16.3 hh,4,False,False,False,,,True,['Dressage']
1976423,1976423,,4500,Chestnut,Lexington Kentucky 40502,15.046575342465754,40502,17.2 hh,3,False,False,False,,,False,"['Dressage', 'Hunt Seat Equitation', 'Hunter', 'Hunter Under Saddle', 'Jumping']"
2007866,2007866,,950,Grey,bend Oregon 97703,7.627397260273972,97703,12.3 hh,7,False,True,,,,True,"['Dressage', 'Gymkhana', 'Hunter', 'Jumping', 'Pony Breed']"
2007867,2007867,,6000,Black,Tucson Arizona 85749,16.04931506849315,85749,15.0 hh,4,False,True,False,,,True,"['Beginner-Safe Horse', 'Dressage']"
2007857,2007857,,6500,Brown,Pilesgrove New Jersey 08098,8.043835616438356,8098,17.0 hh,4,False,True,False,,,True,"['Dressage', 'Eventing']"
2007681,2007681,,30000,Black Bay,Forest Grove Oregon 97116,11.043835616438356,97116,16.0 hh,4,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)']"
2007961,2007961,,7500,Chestnut,Beavercreek Oregon 97004,9.043835616438356,97004,15.2 hh,3,False,False,False,,,False,"['Dressage', 'Hunter', 'Jumping', 'Pony Club', 'Trail Riding, Recreational']"
2007969,2007969,,19000,Palomino,Chesterland Ohio 44026,8.043835616438356,44026,16.1 hh,2,False,True,False,,,False,"['Beginner-Safe Horse (Finished/Proficient)', 'Dressage (Shown/Competed/Performed)', 'Eventing (Shown/Competed/Performed)', 'Foxhunter (Shown/Competed/Performed)', 'Trail Riding, Recreational (Finished/Proficient)']"
2007949,2007949,,1200,Palomino,Berryville Virginia 22611,2.7095890410958905,22611,15.1 hh,11,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'HYPP N-N', 'Intermediate Rider Recommended']"
2007185,2007185,,3000,Chestnut,Granite Bay California 95746,12.8,95746,22 Inches,5,False,False,False,,,True,"['Dressage', 'English Pleasure', 'Intermediate Rider Recommended', 'Jumping', 'Ridden English']"
2007939,2007939,,1500,Bay,Columbia Connecticut 06250,8.043835616438356,6250,16.1 hh,5,False,True,,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
2007943,2007943,,28000,Grey,Allentown New Jersey 08501,5.545205479452055,8501,15.0 hh,6,False,False,False,,,True,['Dressage (Awards Earned)']
2007928,2007928,,0,Chestnut,Ashland Ohio 44805,5.794520547945205,44805,15.0 hh,4,False,True,,,,True,"['Dressage', 'Driving', 'Jumping', 'Kid-Friendly Family Horse', 'Trail Riding, Recreational']"
2007911,2007911,,3500,Chestnut,Gillette Wyoming 82718,16.635616438356163,82718,15.1 hh,3,False,False,False,,,True,"['All Around', 'Dressage', 'Hunt Seat Equitation', 'Schoolmaster', 'Trail Riding, Recreational']"
1988825,1988825,,2500,Chestnut,Sacramento California 95632,11.797260273972602,95632,15.0 hh,7,False,True,,,,True,"['Dressage', 'Endurance Riding', 'Hunter', 'Hunter Under Saddle', 'Intermediate Rider Recommended']"
2007704,2007704,,25000,Bay, Massachusetts 02170,12.632876712328768,2170,15.3 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunt Seat Equitation', 'Hunter', 'Jumping']"
2007718,2007718,,30000,Bay,Wellington Florida 33414,8.043835616438356,33414,15.1 hh,5,False,False,False,,,True,"['Broodmare', 'Dressage', 'English Pleasure', 'Hunter', 'Hunter Under Saddle']"
2007847,2007847,,1500,Bay,Corvallis Oregon 97330,3.0383561643835617,97330,15.0 hh,2,False,True,False,,,True,"['4H (Awards Earned)', 'Dressage (Started)', 'Ranch Versatility (Prospect)', 'Trail Riding, Competitive (In Training/Has Training)', 'Trick Horse (In Training/Has Training)']"
2007840,2007840,,30000,Chestnut,Wilton California 95693,14.046575342465754,95693,17.0 hh,4,False,False,False,,,True,"['Dressage', 'Eventing', 'Pony Club', 'Schoolmaster']"
