,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2000828,2000828,,18000,Chestnut,Burleson Texas 76028,4.041095890410959,76028,16.1 hh,2,False,True,,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
2014726,2014726,,25000,Black,Lee New Hampshire 03861,7.375342465753425,3861,15.2 hh,5,False,False,False,,,True,['Dressage']
2014720,2014720,,15000,Black,Brownington Vermont 05860,1.6246575342465754,5860,0 Inches,11,False,False,False,,,True,"['Dressage', 'Halter', 'Hunter', 'No Vices']"
2014661,2014661,,8500,Chestnut,Roseville California 95661,3.0383561643835617,95661,14.3 hh,4,False,False,False,,,True,"['Broodmare', 'Dressage', 'Endurance Riding', 'Hunter Under Saddle']"
2014690,2014690,,5000,Chestnut,Payson Utah 84651,4.627397260273972,84651,15.2 hh,5,False,False,False,,,False,"['Dressage (Started)', 'Eventing (Started)', 'Hunter (Started)', 'Hunter Under Saddle (Started)', 'Jumping (Started)']"
2014699,2014699,,4750,Black,Henderson Nevada 89074,7.879452054794521,89074,16.2 hh,5,False,False,False,,,False,"['Dressage', 'English Pleasure', 'Hunt Seat Equitation', 'Hunter Under Saddle', 'Show Hack']"
2014703,2014703,,900,Dun with Black Points,Maple Park Illinois 60151,19.802739726027397,60151,15.1 hh,3,False,False,False,,,True,"['All Around', 'Dressage', 'Ridden English', 'Ridden Western', 'Show Experience']"
1968727,1968727,,35000,Chestnut,Mayer Minnesota 55360,6.545205479452055,55360,16.1 hh,3,False,False,False,,,True,['Dressage']
2014676,2014676,,45000,Chestnut,Mayer Minnesota 55360,4.627397260273972,55360,17.0 hh,3,False,False,False,,,True,['Dressage']
2007836,2007836,,4000,Chestnut,Scotts Valley California 95066,8.715068493150685,95066,14.1 hh,4,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (In Training/Has Training)', 'Hunter Under Saddle (In Training/Has Training)']"
2004655,2004655,,14500,Bay,Oxford Michigan 48370,4.879452054794521,48370,15.2 hh,3,False,False,False,,,True,"['All Around', 'Dressage', 'Eventing', 'Western Dressage']"
2014666,2014666,,15000,Black,Olympia Washington 98512,5.712328767123288,98512,15.2 hh,3,False,False,False,,,True,"['Dressage', 'Driving', 'Eventing', 'Pony Club', 'Western Dressage']"
2014651,2014651,,3500,Dun,Eckert Colorado 81418,0.6246575342465753,81418,0 Inches,11,False,False,False,,,True,"['Dressage', 'Kid-Friendly Family Horse', 'Pleasure Driving', 'Trail Riding, Competitive', 'Western Dressage']"
2014656,2014656,,3500,Palomino,lexington Texas 78947,15.8,78947,15.3 hh,5,False,False,False,,,False,"['Dressage', 'English Pleasure', 'Parades', 'Trail Riding, Recreational', 'Western Dressage']"
2014648,2014648,,5000,Bay,Gaston Oregon 97119,13.717808219178082,97119,17.0 hh,4,False,True,False,,,True,"['Dressage', 'Jumping']"
1954838,1954838,,6500,Dun,Rixeyvile Virginia 22737,6.794520547945205,22737,14.1 hh,3,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)']"
2014626,2014626,,40000,Silver Dapple,seattle Washington 98101,4.041095890410959,98101,16.0 hh,3,False,False,False,,,True,[]
1997471,1997471,,4500,Bay,Georgetown Kentucky 40324,6.041095890410959,40324,16.0 hh,4,False,True,,,,False,"['All Around', 'Dressage', 'Eventing', 'Hunter', 'Jumping']"
2006628,,,,,,,,,,,,,,,,
1902366,1902366,,13000,Black,Paola Kansas 66071,8.882191780821918,66071,15.2 hh,3,False,False,False,,,True,"['All Around', 'Champion Pedigree', 'Dressage', 'Driving', 'Trail Riding, Recreational']"
