,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2010206,2010206,,15000,Black,Hendersonville North Carolina 28792,15.046575342465754,28792,15.2 hh,2,False,True,,,,True,"['Baroque Horse', 'Dressage', 'Ridden English', 'Ridden Western', 'Show Experience']"
2010209,2010209,,4500,Dun,Hendersonville North Carolina 28792,16.04931506849315,28792,14.3 hh,3,False,True,,,,True,"['Beginner-Safe Horse', 'Champion Pedigree', 'Dressage', 'Trail Riding, Recreational', 'Youth']"
2010197,2010197,,5000,Bay,Franklin Kentucky 42134,6.879452054794521,42134,15.3 hh,4,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunt Seat Equitation', 'Hunter', 'Jumping']"
2010201,2010201,,9500,Brown,Essex Jct Vermont 05452,0.7095890410958904,5452,0 Inches,3,False,False,False,,,True,"['Dressage', 'Hunter', 'Jumping']"
2010089,2010089,,40000,Bay,Greensboro North Carolina 27406,13.632876712328768,27406,16.3 hh,4,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Jumping (Finished/Proficient)']"
1988305,1988305,,25000,Chestnut,Blue Ridge Virginia 24064,10.715068493150685,24064,16.1 hh,3,False,False,False,,,False,"['All Around', 'Champion', 'Dressage', 'Eventing', 'Foxhunter']"
1955372,1955372,,6500,Black,Hancock New Hampshire 03449,10.797260273972602,3449,15.0 hh,3,False,True,,,,True,"['Broodmare', 'Dressage (In Training/Has Training)', 'Trail Riding, Recreational', 'Western Dressage (Prospect)']"
2010058,2010058,,6000,Black,North Bend Washington 98065,7.545205479452055,98065,15.2 hh,4,False,True,False,,,True,"['Dressage', 'English Pleasure', 'Show Experience', 'Sporthorse']"
2010050,2010050,,7800,Bay,Amsterdam New York 12010,11.63013698630137,12010,17.0 hh,4,False,False,False,,,True,"['All Around', 'Dressage', 'Foxhunter', 'Hunter', 'Trail Riding, Recreational']"
1969048,1969048,,15000,Grey,Crofton Maryland 21114,10.043835616438356,21114,16.0 hh,7,False,False,False,,,False,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)']"
2007096,2007096,,4500,Grey,Oakland Michigan 48363,7.041095890410959,48363,16.3 hh,4,False,False,False,,,True,"['Dressage (Prospect)', 'Sporthorse (Prospect)']"
2005751,2005751,,2500,Black,Sweet Home Oregon 97386,8.882191780821918,97386,16.3 hh,5,False,True,,,,True,"['Dressage (In Training/Has Training)', 'Eventing (Prospect)', 'Hunter (Started)', 'Jumping (In Training/Has Training)', 'Trail Riding, Competitive (Started)']"
2010126,2010126,,35000,Chestnut,Stanwood Washington 98292,6.627397260273972,98292,17.1 hh,4,False,True,,,,True,"['Dressage (Prospect)', 'Hunter (Started)', 'Jumping (In Training/Has Training)', 'Show Experience (Shown/Competed/Performed)']"
