,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2014533,2014533,,1500,Bay,Clinton Montana 59825,13.046575342465754,59825,16.1 hh,5,False,False,False,,,False,"['All Around (In Training/Has Training)', 'Broodmare (Prospect)', 'Dressage (In Training/Has Training)', 'Lesson Horse (Finished/Proficient)', 'Show Experience (Finished/Proficient)']"
2014530,2014530,,700,Bay,Clinton Montana 59825,17.04931506849315,59825,13.0 hh,5,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Jumping (In Training/Has Training)', 'Lesson Horse (In Training/Has Training)', 'Trail Riding, Recreational (Finished/Proficient)']"
2014528,2014528,,2500,Bay,Charlestown Rhode Island 02891,11.043835616438356,2891,16.2 hh,7,False,False,False,,,True,"['Advanced Rider Recommended', 'All Around', 'Dressage', 'Driving', 'Eventing']"
2014516,2014516,,7500,Chestnut,Ellettsville Indiana 47429,7.879452054794521,47429,15.3 hh,6,False,False,False,,,True,"['Barrel Racing (Started)', 'Dressage (Started)', 'Eventing (Started)', 'Jumping (Started)', 'Racing, Retired Racehorse (Produced Money/Point Earner)']"
2014514,2014514,,20000,Bay,Ellettsville Indiana 47429,4.879452054794521,47429,17.3 hh,4,False,False,False,,,False,"['Dressage (Prospect)', 'Eventing (Prospect)', 'Jumping (Prospect)']"
2014500,2014500,,0,Bay,Ocala Florida 34482,6.627397260273972,34482,14.1 hh,11,False,False,False,,,True,"['All Around', 'Dressage', 'English Pleasure', 'Halter', 'Kid-Friendly Family Horse']"
2014491,2014491,,4000,Bay,calhoun Louisiana 71225,9.043835616438356,71225,16.2 hh,5,False,False,False,,,True,"['Champion (Awards Earned)', 'Dressage (Shown/Competed/Performed)', 'Eventing (Prospect)', 'Hunter (Started)', 'Jumping (Started)']"
2014482,2014482,,12000,Bay,Virigina Beach Virginia 23457,9.715068493150685,23457,16.1 hh,5,False,False,False,,,True,"['Dressage (Started)', 'Hunt Seat Equitation (Shown/Competed/Performed)', 'Hunter (Awards Earned)', 'Racing, Retired Racehorse (Money/Points Earned)', 'Show Winner (Awards Earned)']"
2014470,2014470,,7200,Bay,Middletown New York 10940,8.95890410958904,10940,16.2 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Jumping']"
2014461,,,,,,,,,,,,,,,,
2014447,,,,,,,,,,,,,,,,
2014444,2014444,,13500,Bay,Howell New Jersey 07731,15.046575342465754,7731,16.2 hh,5,False,False,False,,,False,"['Advanced Rider Recommended (Awards Earned)', 'Champion (Awards Earned)', 'Dressage (Started)', 'Jumping (Shown/Competed/Performed)']"
2014442,2014442,,3800,Chestnut,Liberty North Carolina 27298,3.7095890410958905,27298,15.3 hh,2,False,False,False,,,True,"['Dressage', 'English Pleasure', 'Hunter Under Saddle', 'Jumping', 'Western Dressage']"
2014429,2014429,,12000,Black,Hampton Falls New Hampshire 03844,17.635616438356163,3844,15.2 hh,6,False,False,False,,,True,"['Dressage', 'Natural Horsemanship Training', 'Trail Riding, Recreational']"
2014399,2014399,,10000,Bay,Carlock Illinois 61725,4.712328767123288,61725,15.2 hh,11,False,True,,,,True,"['Dressage (Awards Earned)', 'Eventing (Awards Earned)', 'Foxhunter', 'Hunter (Awards Earned)', 'Jumping (Awards Earned)']"
2014397,2014397,,200,Grey,Milton Vermont 05468,6.041095890410959,5468,16.2 hh,6,False,False,False,,,True,"['Dressage', 'Eventing', 'Hunter', 'Intermediate Rider Recommended']"
2014378,2014378,,1800,Bay,Wylie Texas 75098,6.041095890410959,75098,0 Inches,11,False,False,False,,,False,"['All Around', 'Barrel Racing', 'Dressage', 'Hunter']"
2014350,2014350,,5500,Black,Monroe North Carolina 28110,8.797260273972602,28110,17.0 hh,2,False,False,False,,,False,"['All Around', 'Beginner-Safe Horse', 'Country English Pleasure', 'Draft', 'Dressage']"
2014340,2014340,,20000,Black,Ann Arbor Michigan 48104,1.8767123287671232,48104,15.0 hh,3,False,False,False,,,True,"['Dressage', 'Homozygous Black', 'Yearling']"
2014324,2014324,,9000,Bay,Mansfield Center Connecticut 06250,12.8,6250,15.1 hh,6,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Hunter (Shown/Competed/Performed)']"
2014317,,,,,,,,,,,,,,,,
2014278,,,,,,,,,,,,,,,,
2014263,2014263,,20000,Chestnut,Oconomowoc Wisconsin 53066,4.041095890410959,53066,16.1 hh,3,False,False,False,,,True,"['Dressage (Prospect)', 'Eventing (Prospect)', 'Jumping (Prospect)']"
2014262,2014262,,6000,Brown,Vancouver Washington 98685,5.041095890410959,98685,17.0 hh,7,False,False,False,,,True,"['Advanced Rider Recommended', 'Dressage', 'English Pleasure']"
2014257,2014257,,3800,Black Bay,Labadie Missouri 63055,2.6246575342465754,63055,15.2 hh,4,False,True,,,,True,"['Dressage', 'Endurance Riding', 'Sporthorse', 'Trail Riding, Competitive', 'Western Dressage']"
2014253,2014253,,0,Bay,Jackson California 95666,12.046575342465754,95666,16.3 hh,7,False,False,False,,,False,"['Dressage', 'Eventing', 'Jumping']"
2014247,2014247,,5500,Grey,Mitchellville Iowa 50169,11.043835616438356,50169,15.3 hh,3,False,True,,,,True,"['Broodmare', 'Draft', 'Dressage', 'Eventing', 'Lesson Horse']"
2014234,2014234,,2500,Chestnut,Franklin Tennessee 37064,8.043835616438356,37064,13.1 hh,8,False,False,False,,,False,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Intermediate Rider Recommended', 'Jumping (In Training/Has Training)']"
1969406,1969406,,2500,Bay,Ardmore Oklahoma 73401,9.043835616438356,73401,15.0 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping', 'Pony Club', 'Show Experience']"
1998807,1998807,,15000,Black Bay,Gladstone New Jersey 07934,8.043835616438356,7934,16.0 hh,6,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping']"
2014196,,,,,,,,,,,,,,,,
2014168,2014168,,0,Black,Del Mar California 92014,3.0383561643835617,92014,16.1 hh,11,False,False,False,,,False,['Dressage']
2014166,2014166,,0,Bay,Westfield Massachusetts 01011,6.041095890410959,1011,16.0 hh,5,False,False,False,,,True,"['All Around', 'Dressage', 'English Pleasure', 'Hunter Under Saddle', 'Jumping']"
2014146,2014146,,7500,Brown,Loveland Colorado 80537,5.041095890410959,80537,15.2 hh,11,False,True,,,,True,"['All Around', 'Dressage', 'Eventing', 'Ranch Versatility', 'Roping']"
2014143,2014143,,17000,Bay,Wimberley Texas 78676,11.043835616438356,78676,14.3 hh,3,False,False,False,,,True,"['Dressage (Awards Earned)', 'Eventing (Shown/Competed/Performed)', 'Hunter (Awards Earned)', 'Lesson Horse (Finished/Proficient)']"
