,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2016004,2016004,,7500,Dun,Warrenton Virginia 20186,11.043835616438356,20186,16.1 hh,11,False,False,False,,,False,"['All Around', 'Dressage', 'Foxhunter', 'Trail Riding, Recreational']"
2016001,2016001,,3000,Black,Zionsville Indiana 46077,14.884931506849314,46077,15.2 hh,3,False,True,False,,,True,"['All Around (In Training/Has Training)', 'Beginner-Safe Horse (Finished/Proficient)', 'Dressage (Finished/Proficient)', 'Jumping (In Training/Has Training)', 'Western Pleasure (In Training/Has Training)']"
2015995,2015995,,5500,Bay,Anoka Minnesota 55303,7.958904109589041,55303,16.2 hh,3,False,False,False,,,True,"['All Around (Finished/Proficient)', 'Dressage (Shown/Competed/Performed)', 'Hunt Seat Equitation (In Training/Has Training)', 'Hunter (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)']"
2015962,,,,,,,,,,,,,,,,
2015956,2015956,,3400,Grey,Sheboygan Wisconsin 53081,7.041095890410959,53081,14.3 hh,8,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (Prospect)', 'Endurance Riding (Prospect)', 'Sporthorse (Prospect)', 'Western Pleasure (Started)']"
2015945,2015945,,4500,Chestnut,San Diego California 92127,7.041095890410959,92127,17.0 hh,5,False,False,False,,,True,"['All Around', 'Dressage', 'Eventing', 'Jumping']"
2015935,2015935,,1,Bay,Davison Michigan 48423,6.041095890410959,48423,16.3 hh,11,False,False,False,,,False,"['Dressage', 'Eventing', 'Hunter', 'Jumping', 'Racing, Retired Racehorse']"
2015917,2015917,,3500,Black Bay,Charles City Virginia 23030,5.879452054794521,23030,16.1 hh,5,False,False,False,,,True,"['Dressage (Started)', 'Eventing (Prospect)', 'Foxhunter (Prospect)', 'Hunter (Prospect)', 'Jumping (Started)']"
2015906,,,,,,,,,,,,,,,,
2015878,2015878,,20000,Bay,Carlock Illinois 61725,5.041095890410959,61725,16.1 hh,11,False,False,False,,,True,"['Dressage (Awards Earned)', 'Eventing (Awards Earned)', 'Hunter (Awards Earned)', 'Jumping (Awards Earned)', 'Pony Club']"
2015867,2015867,,2500,Bay,Norco California 92860,12.046575342465754,92860,15.3 hh,5,False,False,False,,,False,"['Draft (Finished/Proficient)', 'Dressage (In Training/Has Training)', 'Lesson Horse (Produced Money/Point Earner)', 'Ridden English (Finished/Proficient)', 'Trail Riding, Recreational (In Training/Has Training)']"
2015862,2015862,,1,Bay,Midlothian Virginia 23112,17.04931506849315,23112,15.3 hh,6,False,False,False,,,True,"['Agility', 'Champion', 'Dressage', 'Intermediate Rider Recommended', 'Jumping']"
2015855,2015855,,30000,Bay,Lugoff South Carolina 29078,8.715068493150685,29078,16.2 hh,11,False,False,False,,,False,"['Dressage', 'Eventing', 'Rider Level: Amateur', 'Rider Level: Novice', 'Rider Level: Open']"
2015818,2015818,,0,Grey,Kennett Square Pennsylvania 19348,4.879452054794521,19348,12.0 hh,11,False,False,False,,,True,"['All Around', 'Broodmare', 'Dressage', 'Hunter', 'Pony Breed']"
2015777,,,,,,,,,,,,,,,,
2015757,2015757,,6500,Chestnut,Metamora Michigan 48455,11.043835616438356,48455,15.2 hh,3,False,False,False,,,True,"['All Around', 'Dressage', 'Western Dressage', 'Western Pleasure']"
2015733,2015733,,2500,Chestnut,Rainbow Texas 76077,16.04931506849315,76077,14.3 hh,7,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Reining (In Training/Has Training)', 'Western Dressage (In Training/Has Training)']"
2015720,2015720,,1,Black Bay,Bluemont Virginia 20135,6.879452054794521,20135,16.1 hh,3,False,False,False,,,True,"['Dressage (Shown/Competed/Performed)', 'Eventing (In Training/Has Training)', 'Jumping (Shown/Competed/Performed)', 'Trail Riding, Recreational (In Training/Has Training)']"
2015714,2015714,,2000,Chestnut,Kerens Texas 75144,7.712328767123288,75144,16.2 hh,7,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (Prospect)', 'Jumping (In Training/Has Training)', 'No Vices']"
2015667,2015667,,3000,Black,"Joliet, MT Montana 69041",3.8767123287671232,69041,14.3 hh,6,False,False,False,,,True,"['Barrel Racing', 'Dressage', 'Jumping', 'Reining', 'Reining Cowhorse Cutting']"
2015648,2015648,,8500,Chestnut,Haymarket Virginia 20169,0.6246575342465753,20169,0 Inches,5,False,False,False,,,True,['Dressage']
2015637,2015637,,20000,Brown,Carlock Illinois 61725,7.712328767123288,61725,16.3 hh,3,False,False,False,,,True,"['Dressage (Awards Earned)', 'Eventing (Awards Earned)', 'Hunter (Awards Earned)', 'Jumping (Awards Earned)']"
2015626,2015626,,2000,Chestnut,Lititz Pennsylvania 17543,15.046575342465754,17543,16.0 hh,7,False,False,False,,,False,"['Dressage (Shown/Competed/Performed)', 'Eventing (Shown/Competed/Performed)', 'Jumping (Shown/Competed/Performed)']"
2015625,2015625,,8000,Bay,Oxford Michigan 48370,10.043835616438356,48370,15.1 hh,5,False,False,False,,,False,['Dressage']
2015608,2015608,,11500,Grey,Corsicana Texas 75109,2.791780821917808,75109,15.2 hh,5,False,False,False,,,True,"['Baroque Horse (World/National Competitor)', 'Champion Pedigree (World/National Competitor)', 'Dressage (Prospect)', 'English Pleasure (Prospect)', 'Halter (Finished/Proficient)']"
2015591,2015591,,7000,Sorrel,Highland Michigan 48462,7.041095890410959,48462,14.1 hh,2,False,False,False,,,False,"['All Around', 'Beginner-Safe Horse', 'Dressage', 'English Pleasure', 'Hunt Seat Equitation']"
2015580,2015580,,17000,Bay,Highland Michigan 48356,13.046575342465754,48356,16.2 hh,2,False,False,False,,,True,"['Beginner-Safe Horse (Awards Earned)', 'Champion (Awards Earned)', 'Dressage (In Training/Has Training)', 'English Pleasure (Finished/Proficient)', 'Hunt Seat Equitation (Awards Earned)']"
