,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2004764,2004764,,8500,Grulla,Lancaster Kentucky 40444,5.041095890410959,40444,16.1 hh,11,False,False,False,,,False,"['Dressage', 'Hunt Seat Equitation', 'Jumping', 'Western Riding']"
2005090,,,,,,,,,,,,,,,,
2005079,2005079,,6000,Black Bay,Hutchins Texas 75141,1.7095890410958905,75141,0 Inches,11,False,False,False,,,False,"['All Around', 'Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage']"
2005078,2005078,,10000,Bay,Hutchins Texas 75141,9.797260273972602,75141,15.2 hh,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage']"
2005077,2005077,,10000,White,Hutchins Texas 75141,8.797260273972602,75141,15.2 hh,11,False,False,False,,,True,"['All Around', 'Broodmare', 'Dressage', 'Halter']"
2005076,2005076,,10000,Grey,Hutchins Texas 75141,7.958904109589041,75141,16.1 hh,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Dressage', 'Halter']"
2005073,2005073,,10000,White,Hutchins Texas 75141,10.797260273972602,75141,0 Inches,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Dressage', 'Halter']"
2005072,2005072,,15000,Brown,Hutchins Texas 75141,10.715068493150685,75141,16.0 hh,11,False,False,False,,,True,"['All Around', 'Broodmare', 'Dressage', 'Halter']"
2005070,2005070,,10000,Dunskin,Hutchins Texas 75141,14.550684931506849,75141,15.3 hh,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage']"
2005067,2005067,,10000,Grey,Hutchins Texas 75141,11.797260273972602,75141,15.3 hh,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage']"
2005065,2005065,,10000,Grey,Hutchins Texas 75141,6.712328767123288,75141,15.3 hh,11,False,False,False,,,True,"['All Around', 'Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage']"
2005064,2005064,,10000,Bay,Hutchins Texas 75141,5.712328767123288,75141,16.0 hh,11,False,False,False,,,True,"['Baroque Horse', 'Broodmare', 'Champion Pedigree', 'Dressage', 'Foundation Bred']"
