,id,breed,breedStr,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills,desc,gender
145208,,,,,,,,,,,,,,,,,,,
537544,,,,,,,,,,,,,,,,,,,
929703,,,,,,,,,,,,,,,,,,,
936691,,,,,,,,,,,,,,,,,,,
936940,,,,,,,,,,,,,,,,,,,
938538,,,,,,,,,,,,,,,,,,,
1073812,,,,,,,,,,,,,,,,,,,
1076452,,,,,,,,,,,,,,,,,,,
1180263,,,,,,,,,,,,,,,,,,,
1223038,,,,,,,,,,,,,,,,,,,
1402231,,,,,,,,,,,,,,,,,,,
1458843,,,,,,,,,,,,,,,,,,,
1480004,,,,,,,,,,,,,,,,,,,
1502154,,,,,,,,,,,,,,,,,,,
1529113,,,,,,,,,,,,,,,,,,,
1544875,,,,,,,,,,,,,,,,,,,
1589250,,,,,,,,,,,,,,,,,,,
1624730,,,,,,,,,,,,,,,,,,,
1625839,,,,,,,,,,,,,,,,,,,
1637960,,,,,,,,,,,,,,,,,,,
1649754,,,,,,,,,,,,,,,,,,,
1654703,,,,,,,,,,,,,,,,,,,
1666977,,,,,,,,,,,,,,,,,,,
1667277,,,,,,,,,,,,,,,,,,,
1683711,,,,,,,,,,,,,,,,,,,
1687919,,,,,,,,,,,,,,,,,,,
1691866,,,,,,,,,,,,,,,,,,,
1708954,,,,,,,,,,,,,,,,,,,
1712669,,,,,,,,,,,,,,,,,,,
1724502,,,,,,,,,,,,,,,,,,,
1730164,,,,,,,,,,,,,,,,,,,
1737334,,,,,,,,,,,,,,,,,,,
1740412,,,,,,,,,,,,,,,,,,,
1742251,,,,,,,,,,,,,,,,,,,
1744720,,,,,,,,,,,,,,,,,,,
1747568,,,,,,,,,,,,,,,,,,,
1750047,,,,,,,,,,,,,,,,,,,
1750988,,,,,,,,,,,,,,,,,,,
1760911,,,,,,,,,,,,,,,,,,,
1763030,,,,,,,,,,,,,,,,,,,
1763038,,,,,,,,,,,,,,,,,,,
1763062,,,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,,,
1765895,,,,,,,,,,,,,,,,,,,
1769520,,,,,,,,,,,,,,,,,,,
1774024,,,,,,,,,,,,,,,,,,,
1774027,,,,,,,,,,,,,,,,,,,
1774034,,,,,,,,,,,,,,,,,,,
1777700,,,,,,,,,,,,,,,,,,,
1777886,,,,,,,,,,,,,,,,,,,
1780474,,,,,,,,,,,,,,,,,,,
1789764,,,,,,,,,,,,,,,,,,,
1791431,,,,,,,,,,,,,,,,,,,
1791435,,,,,,,,,,,,,,,,,,,
1791856,,,,,,,,,,,,,,,,,,,
1792603,,,,,,,,,,,,,,,,,,,
1794868,,,,,,,,,,,,,,,,,,,
1796701,,,,,,,,,,,,,,,,,,,
1798742,,,,,,,,,,,,,,,,,,,
1799411,,,,,,,,,,,,,,,,,,,
1799412,,,,,,,,,,,,,,,,,,,
1800871,,,,,,,,,,,,,,,,,,,
1805985,,,,,,,,,,,,,,,,,,,
1808548,,,,,,,,,,,,,,,,,,,
1814171,,,,,,,,,,,,,,,,,,,
1814172,,,,,,,,,,,,,,,,,,,
1815165,,,,,,,,,,,,,,,,,,,
1822439,,,,,,,,,,,,,,,,,,,
1824985,,,,,,,,,,,,,,,,,,,
1825664,,,,,,,,,,,,,,,,,,,
1829920,,,,,,,,,,,,,,,,,,,
1833409,,,,,,,,,,,,,,,,,,,
1838245,,,,,,,,,,,,,,,,,,,
1838272,,,,,,,,,,,,,,,,,,,
1838312,,,,,,,,,,,,,,,,,,,
1839041,,,,,,,,,,,,,,,,,,,
1839145,,,,,,,,,,,,,,,,,,,
1840128,,,,,,,,,,,,,,,,,,,
1843849,,,,,,,,,,,,,,,,,,,
1843850,,,,,,,,,,,,,,,,,,,
1843950,,,,,,,,,,,,,,,,,,,
1845119,,,,,,,,,,,,,,,,,,,
1845757,,,,,,,,,,,,,,,,,,,
1846953,,,,,,,,,,,,,,,,,,,
1848251,,,,,,,,,,,,,,,,,,,
1848434,,,,,,,,,,,,,,,,,,,
1848435,,,,,,,,,,,,,,,,,,,
1850858,,,,,,,,,,,,,,,,,,,
1854863,,,,,,,,,,,,,,,,,,,
1857965,,,,,,,,,,,,,,,,,,,
1861968,,,,,,,,,,,,,,,,,,,
1862150,,,,,,,,,,,,,,,,,,,
1862677,,,,,,,,,,,,,,,,,,,
1863891,,,,,,,,,,,,,,,,,,,
1865323,,,,,,,,,,,,,,,,,,,
1865327,,,,,,,,,,,,,,,,,,,
1865332,,,,,,,,,,,,,,,,,,,
1870230,,,,,,,,,,,,,,,,,,,
1870581,,,,,,,,,,,,,,,,,,,
1870601,,,,,,,,,,,,,,,,,,,
1870863,,,,,,,,,,,,,,,,,,,
1871141,,,,,,,,,,,,,,,,,,,
