,id,breed,price,color,age,zip,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills,gender,inches,lnprice
270,2019615,Hanoverian,135000,Chestnut,12.063013698630137,32130,3,False,False,False,,,True,Dressage,1,66.0,11.8130300574
271,2019617,Swedish Warmblood,30000,Liver Chestnut,8.06027397260274,34602,8,False,False,False,,,False,Dressage,1,65.0,10.3089526606
272,2019655,Brandenburger,1100,Bay,24.07123287671233,74044,1,False,False,False,,,False,,1,68.0,7.00306545879
273,2019658,Dutch Warmblood,15000,Chestnut,2.893150684931507,76234,1,False,False,False,,,True,,0,64.0,9.61580548008
274,2019663,Dutch Warmblood,9500,Bay,0.8931506849315068,76234,1,False,False,False,,,True,,1,68.0,9.15904707759
275,2019666,Dutch Warmblood,20000,Bay Roan,0.6410958904109589,76234,5,False,False,False,,,True,,0,65.0,9.90348755254
276,2019677,Dutch Warmblood,25000,Black Bay,5.728767123287671,97132,7,False,False,False,,,True,,1,67.0,10.1266311039
277,2019689,Friesian,3200,Brown,1.641095890410959,97834,5,False,False,False,,,False,,0,59.0,8.07090608879
278,2019693,Warmblood Cross,8500,Grey,14.063013698630137,24590,5,False,False,False,,,False,,0,62.0,9.04782144248
279,2019713,Morab,1800,Bay,8.06027397260274,78370,5,False,False,False,,,False,,0,58.0,7.49554194388
280,2019720,Holsteiner,18000,Chestnut,9.73150684931507,30115,7,False,False,False,,,False,Jumping,1,73.0,9.79812703688
281,2019724,Oldenburg,19000,Bay,4.561643835616438,33556,5,False,False,False,,,True,,1,68.0,9.85219425815
282,2019745,Hanoverian,2500,Bay,16.81917808219178,24450,2,False,False,False,,,True,Broodmare,0,64.0,7.82404601086
283,2019746,Oldenburg,12500,Bay,3.7260273972602738,53502,11,False,False,False,,,True,,0,65.0,9.43348392329
284,2019747,German Riding Pony,25000,Liver Chestnut,2.808219178082192,92021,5,False,False,False,,,True,,1,60.0,10.1266311039
285,2019748,Oldenburg,12000,Chestnut,2.558904109589041,53502,11,False,False,False,,,True,,0,,9.39266192877
286,2019799,Trakehner,30000,Bay,9.06027397260274,29803,3,False,False,False,,,False,,1,66.0,10.3089526606
287,2019801,Arabian Cross,6000,Bay,6.728767123287671,32130,5,False,False,False,,,True,Dressage,0,58.0,8.69951474821
288,2019802,Hanoverian,10000,Black Bay,20.82191780821918,32130,3,False,False,False,,,True,Dressage,0,66.0,9.21034037198
289,2019803,Trakehner,50000,Black Bay,10.813698630136987,32130,3,False,False,False,,,True,Dressage,0,62.0,10.8197782844
290,2019815,Draft Horse,4000,Red Roan,7.057534246575343,73086,2,False,False,False,,,False,"Trail Riding, Recreational",1,64.0,8.2940496401
291,2019824,Thoroughbred,125,Bay,12.063013698630137,0,5,False,False,False,,,True,,1,64.0,4.8283137373
292,2019834,Canadian Sport Horse,25000,Bay,3.808219178082192,0,2,False,False,False,,,True,Hunter,0,,10.1266311039
293,2019835,New Forest Pony,6000,Bay,11.813698630136987,92129,5,False,False,False,,,True,Hunter,0,56.0,8.69951474821
294,2019870,Warmblood Cross,6500,Grey,4.810958904109589,98022,11,False,False,False,,,False,,0,66.0,8.77955745588
295,2019888,Rheinland Pfalz Saar,20000,Bay,5.810958904109589,80504,5,False,False,False,,,True,,0,65.0,9.90348755254
296,2019889,American Warmblood Registry,1500,Bay,4.561643835616438,34771,5,False,False,False,,,False,,1,64.0,7.31322038709
297,2019899,Missouri Fox Trotter Horse,1500,Liver Chestnut,19.81917808219178,74939,5,False,False,False,,,True,,1,62.0,7.31322038709
298,2019965,Hanoverian,12000,Black Bay,12.901369863013699,30115,4,False,False,False,,,True,,0,66.0,9.39266192877
299,2019976,Zweibrucker,28000,Black Bay,7.728767123287671,97045,5,False,False,False,,,True,,0,65.0,10.2399597892
300,2019977,American Warmblood Society,20000,Bay,15.063013698630137,92057,2,False,False,False,,,False,,1,67.0,9.90348755254
301,2020000,Dutch Warmblood,15000,Grey,2.558904109589041,94551,5,False,False,False,,,False,,0,66.0,9.61580548008
302,2020007,Thoroughbred,6000,Bay,1.641095890410959,49012,5,False,False,False,,,True,,0,60.0,8.69951474821
303,2020012,Zangersheide,29500,Other,6.476712328767123,21790,3,False,False,False,,,True,,0,65.0,10.2921455423
304,2020016,Swedish Warmblood,12000,Bay,3.0547945205479454,0,7,False,False,False,,,False,,0,64.0,9.39266192877
305,2020020,Swedish Warmblood,12000,Bay,1.0547945205479452,0,8,False,False,False,,,False,,1,56.0,9.39266192877
306,2020022,Danish Warmblood,40000,Bay,9.898630136986302,78015,5,False,False,False,,,True,,0,66.0,10.5966347331
307,2020079,Dutch Warmblood,15000,Bay,16.065753424657533,90049,2,False,False,False,,,False,Hunter,0,63.0,9.61580548008
308,2020080,Hanoverian,8000,Bay,8.73150684931507,0,6,False,False,False,,,True,,1,64.0,8.98719682066
309,2020087,Hanoverian,8500,Bay,14.063013698630137,23192,2,False,False,False,,,False,,1,68.0,9.04782144248
310,2020104,Dutch Warmblood,49000,Bay,7.057534246575343,0,5,False,False,False,,,True,Dressage,1,65.0,10.7995755771
311,2020109,Iberian Warmblood,6500,Bay,7.810958904109589,14812,5,False,False,False,,,True,,1,65.0,8.77955745588
312,2020148,Trakehner,6100,Chestnut,6.728767123287671,0,6,False,False,False,,,True,,0,65.0,8.71604405016
313,2020160,Oldenburg,45000,Bay,9.06027397260274,94951,5,False,False,False,,,True,,1,70.0,10.7144177688
314,2020174,Appaloosa,10000,Bay,1.726027397260274,21619,5,False,False,False,,,True,,0,65.0,9.21034037198
315,2020179,Hanoverian,30000,Black Bay,15.063013698630137,95746,7,False,False,False,,,True,,0,65.0,10.3089526606
316,2020182,Thoroughbred,12500,Grey,9.06027397260274,80524,7,False,False,False,,,True,,0,62.0,9.43348392329
317,2020248,Rheinland Pfalz Saar,5000,Black,3.558904109589041,98252,4,False,False,False,,,False,,0,61.0,8.51719319142
318,2020252,Trakehner,1500,Palomino,18.65205479452055,85338,5,False,False,False,,,True,,0,63.0,7.31322038709
319,2020285,Sport Horse of Color,500,Black,16.81917808219178,20106,2,False,False,False,,,True,,0,60.0,6.21460809842
320,2020292,Canadian Warmblood,18000,Bay,6.895890410958904,0,5,False,False,False,,,True,,0,62.0,9.79812703688
321,2020312,Oldenburg,15000,Chestnut,15.063013698630137,48051,5,False,False,False,,,False,,0,63.0,9.61580548008
322,2020315,Thoroughbred,18000,Black,5.6438356164383565,77336,4,False,False,False,,,True,Jumping,0,66.0,9.79812703688
323,2020319,Dutch Warmblood,45000,Bay,5.057534246575343,38002,7,False,False,False,,,True,Dressage,1,69.0,10.7144177688
324,2020323,Thoroughbred,8500,Bay,6.057534246575343,16801,4,False,False,False,,,False,,0,62.0,9.04782144248
325,2020339,Dutch Warmblood,18000,Bay,13.567123287671233,85355,5,False,False,False,,,True,,1,68.0,9.79812703688
326,2020341,Irish Sport Horse,20000,Bay,10.564383561643835,8525,5,False,False,False,,,False,,1,68.0,9.90348755254
327,2020346,Czech Warmblood,15000,Bay,15.063013698630137,0,5,False,False,False,,,True,,1,68.0,9.61580548008
328,2020397,Canadian Warmblood,18000,Bay,8.564383561643835,0,3,False,False,False,,,False,,0,68.0,9.79812703688
329,2020401,Canadian Warmblood,20000,Chestnut,4.6438356164383565,53022,1,False,False,False,,,True,,1,72.0,9.90348755254
330,2020426,Canadian Warmblood,15000,Bay,15.063013698630137,20874,2,False,False,False,,,False,,1,66.0,9.61580548008
331,2020441,Holsteiner,25000,Bay,9.73150684931507,5468,3,False,False,False,,,True,,0,68.0,10.1266311039
332,2020451,Trakehner,1,Grey,8.06027397260274,32696,1,False,False,False,,,False,,1,65.0,0.0
333,2020476,Canadian Horse,12000,Black,7.728767123287671,20841,2,False,False,False,,,True,Dressage (Finished/Proficient),0,63.0,9.39266192877
334,2020516,Hanoverian,6500,Bay,7.6438356164383565,6339,4,False,False,False,,,True,Broodmare,0,71.0,8.77955745588
335,2020526,Thoroughbred,30000,Bay,6.6438356164383565,33470,7,False,False,False,,,True,,1,69.0,10.3089526606
336,2020538,Welsh Pony,1500,Bay Roan,0.473972602739726,60156,5,False,False,False,,,False,,0,,7.31322038709
337,2020546,Dutch Warmblood,7000,Grey,12.397260273972602,28037,11,False,False,False,,,False,,1,67.0,8.85366542804
338,2020549,Andalusian,800,Grey,12.816438356164383,95829,10,False,False,False,,,True,,1,65.0,6.68461172767
339,2020551,Arabian Cross,2000,Grey,18.484931506849314,98024,7,False,False,False,,,True,,0,60.0,7.60090245954
340,2020562,Thoroughbred,8500,Chocolate,5.057534246575343,72616,2,False,False,False,,,True,,0,68.0,9.04782144248
341,2020563,Westphalian,7500,Black,12.482191780821918,91040,7,False,False,False,,,False,Dressage (In Training/Has Training),1,65.0,8.92265829952
342,2020583,Spotted Draft,9500,Bay,5.728767123287671,89131,6,False,False,False,,,False,,1,67.0,9.15904707759
